title,release_date,genres,language,description,poster_path,tagline,runtime,rating,vote_count,movieId
What's Eating Gilbert Grape,1993-12-17,Romance|Drama,en,"Gilbert Grape is a small-town young man with a lot of responsibility. Chief among his concerns are his mother, who is so overweight that she can't leave the house, and his mentally impaired younger brother, Arnie, who has a knack for finding trouble. Settled into a job at a grocery store and an ongoing affair with local woman Betty Carver, Gilbert finally has his life shaken up by the free-spirited Becky.",https://image.tmdb.org/t/p/w500/8r9yts6XHbB1xNLaPC6ExNAK1Qu.jpg,Life is a terrible thing to sleep through.,118.0,7.665,4073.0,65
While You Were Sleeping,1995-04-21,Romance|Comedy,en,"A transit worker pulls commuter Peter off railway tracks after he's mugged, but—while he's in a coma—his family mistakenly thinks she's Peter's fiancée, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be.",https://image.tmdb.org/t/p/w500/qNGO3ETcNwlWqK2kNRpbJSJRlos.jpg,A story about love at second sight.,99.0,7.019,1882.0,66
Ace Ventura: Pet Detective,1994-02-04,Comedy|Mystery|Crime,en,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!",https://image.tmdb.org/t/p/w500/pqiRuETmuSybfnVZ7qyeoXhQyN1.jpg,"He's the best there is! (Actually, he's the only one there is.)",86.0,6.571,6010.0,67
The Crow,1994-05-11,Fantasy|Action|Thriller,en,"Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven, watched over by a hypnotic crow, returns from the grave to exact revenge.",https://image.tmdb.org/t/p/w500/rMMB3v6jYHjsvXRNJYESacoTD7j.jpg,Believe in angels.,102.0,7.525,4260.0,68
Forrest Gump,1994-06-23,Comedy|Drama|Romance,en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",https://image.tmdb.org/t/p/w500/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,The world will never be the same once you've seen it through the eyes of Forrest Gump.,142.0,8.469,28407.0,69
Four Weddings and a Funeral,1994-03-09,Comedy|Drama|Romance,en,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.",https://image.tmdb.org/t/p/w500/qa72G2VS0bpxms6yo0tI9vsHm2e.jpg,Five good reasons to stay single.,117.0,6.775,2821.0,70
Leo the Lion: King of the Jungle,1994-07-20,Animation|Adventure|Family,da,"Leo is the lion king of the jungle, but unfortunately he doesn't know well what a king's job is. He believes it is his right to do as he pleases, even if it means disrupting the peace of others or being plain rude to them, as a king, Leo thinks everyone should look out for his well-being and comfort. One day, Leo meets a lion cub named Tooey whose mother has been recently taken away and who comes to Leo for help, being as selfish as he is, Leo turns the young lion away. However, after several different adventures, Leo learns what his place as a king is and how he must behave and treat the creatures who have almost lost all faith in him. Leo rallies the jungle animals to the rescue, and in the epilogue, the narrator Michael Donovan says that Leo asked Tooey's mother to be his queen, and the cub himself grew into a strong young lion, now called Leo II and one day he would be the Jungle King.",https://image.tmdb.org/t/p/w500/dCdG9YYEbUzK0Z1fiIPOemV9FLY.jpg,A heartwarming musical adventure for the whole family.,46.0,6.882,17.0,71
The Mask,1994-07-29,Romance|Comedy|Crime|Fantasy,en,"When timid bank clerk Stanley Ipkiss discovers a magical mask containing the spirit of the Norse god Loki, his entire life changes. While wearing the mask, Ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer Tina Carlyle. Unfortunately, under the mask's influence, Ipkiss also robs a bank, which angers junior crime lord Dorian Tyrell, whose goons get blamed for the heist.",https://image.tmdb.org/t/p/w500/yd3wjLLeQHJ3oRDy4wwiNNFVyLW.jpg,From zero to hero.,101.0,6.966,10655.0,72
Maverick,1994-05-20,Action|Adventure|Comedy|Drama|Western,en,"Bret Maverick is a gambler who would rather con someone than fight them, and needs an additional $3k in order to enter a winner-takes-all poker game beginning in a few days. He joins forces with a woman with a marvelous Southern accent, and the two try and enter the game.",https://image.tmdb.org/t/p/w500/mTVbGGi5PIexmxVzeyFd2RYKwfM.jpg,"In their hands, a deck of cards was the only thing more dangerous than a gun.",127.0,6.888,1654.0,73
"Faster, Pussycat! Kill! Kill!",1965-08-06,Crime|Action|Thriller|Comedy,en,"A trio of thrill-seeking go-go dancers kidnap a young girl and attempt to seduce an old rancher and his two sons out of their small fortune, but their scheme doesn't play out as intended.",https://image.tmdb.org/t/p/w500/usMyF96B9KzZHGlD8McyYfr1Pbw.jpg,Go-Go For a Wild Ride With the ACTION GIRLS!,83.0,6.336,338.0,74
Brother Minister: The Assassination of Malcolm X,,,,,,,,,,75
Carlito's Way,1993-11-10,Crime|Drama|Thriller,en,"Free after years in prison, Carlito Brigante intends to give up his criminal ways, but it's not long before the ex-con is sucked back into the New York City underworld. Reconnecting with his dancer girlfriend, Carlito gets entangled in the shady dealings of his friend Dave Kleinfeld, who also serves as his lawyer. An encounter with shifty gangster Benny Blanco sets the duo on a dangerous path.",https://image.tmdb.org/t/p/w500/g6D7mjQtndu768cusGmoEQY9fTB.jpg,He's got a good future if he can live past next week.,144.0,7.833,3279.0,76
The Firm,1993-06-30,Drama|Mystery|Thriller,en,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",https://image.tmdb.org/t/p/w500/kFexXCzidkm4LwlgZqxsJsDQB5v.jpg,Power can be murder to resist.,154.0,6.734,2124.0,77
Free Willy,1993-07-16,Family|Adventure|Drama,en,"When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",https://image.tmdb.org/t/p/w500/1WLTjNznfvr3bkHf4p9PR4ctBKK.jpg,How far would you go for a friend?,112.0,6.182,1858.0,78
The Fugitive,1993-08-06,Action|Thriller|Drama,en,"Wrongfully convicted of murdering his wife and sentenced to death, Richard Kimble escapes from the law in an attempt to find the real killer and clear his name.",https://image.tmdb.org/t/p/w500/b3rEtLKyOnF89mcK75GXDXdmOEf.jpg,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,131.0,7.466,4459.0,79
Hot Shots! Part Deux,1993-05-21,Action|Comedy|War,en,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team—who went in to rescue hostages left behind after Desert Storm.",https://image.tmdb.org/t/p/w500/zh9EGK970GHo10ETclWBOjZVUOK.jpg,Just deux it.,86.0,6.546,1921.0,80
The Hudsucker Proxy,1994-03-11,Comedy|Drama|Fantasy,en,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,https://image.tmdb.org/t/p/w500/bp5Kg9iT9oSXsECgDkNJVqvIrxX.jpg,They took him for a fall guy... but he threw them for a hoop.,111.0,7.071,1100.0,81
Jurassic Park,1993-06-11,Adventure|Science Fiction,en,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",https://image.tmdb.org/t/p/w500/63viWuPfYQjRYLSZSZNq7dglJP5.jpg,An adventure 65 million years in the making.,127.0,7.959,16945.0,82
Much Ado About Nothing,1993-05-07,Drama|Comedy|Romance,en,"In this Shakespearean farce, Hero and her groom-to-be, Claudio, team up with Claudio's commanding officer, Don Pedro, the week before their wedding to hatch a matchmaking scheme. Their targets are sharp-witted duo Benedick and Beatrice -- a tough task indeed, considering their corresponding distaste for love and each other. Meanwhile, meddling Don John plots to ruin the wedding.",https://image.tmdb.org/t/p/w500/tvltGP6vYOkHdURag0jPSjhPUAV.jpg,Romance. Mischief. Seduction. Revenge. Remarkable.,111.0,6.93,756.0,83
The Puppet Masters,1994-10-21,Horror|Science Fiction|Thriller,en,The Earth is invaded by alien parasites—AKA 'slugs'—that ride on people's backs and control their minds.,https://image.tmdb.org/t/p/w500/8xJGom6fUqmVhJ7EWprZEHygUis.jpg,Trust No One,109.0,5.8,187.0,84
The Ref,1994-03-09,Comedy|Crime|Drama,en,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",https://image.tmdb.org/t/p/w500/ym7Kx3iDmalK8kXKvVQwnFYABEV.jpg,They might be his hostages but what they're doing to this guy is criminal.,97.0,6.529,345.0,85
The Remains of the Day,1993-11-05,Drama|Romance,en,A rule-bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,https://image.tmdb.org/t/p/w500/uDGDtqSvuch324WnM7Ukdp1bCAQ.jpg,Diamond in the Rough.,134.0,7.369,1383.0,86
Searching for Bobby Fischer,1993-08-13,Drama,en,A seven-year-old chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,https://image.tmdb.org/t/p/w500/oAJpHkMpfXiFY9F3HocIz9fhHLc.jpg,Every journey begins with a single move.,110.0,7.1,588.0,87
Sleepless in Seattle,1993-06-24,Comedy|Drama|Romance,en,"After the death of his mother, a young boy calls a radio station in an attempt to set his father up on a date. Talking about his father’s loneliness soon leads to a meeting with a young female journalist, who has flown to Seattle to write a story about the boy and his father.",https://image.tmdb.org/t/p/w500/jAXfku1u1uaLGh4cUmK0ESf1pPu.jpg,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",105.0,6.748,2442.0,88
Blade Runner,1982-06-25,Science Fiction|Drama|Thriller,en,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",https://image.tmdb.org/t/p/w500/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,Man has made his match... now it's his problem.,118.0,7.941,14244.0,89
So I Married an Axe Murderer,1993-07-30,Comedy|Crime|Romance,en,"Just after a bad breakup, Charlie MacKenzie falls for lovely butcher Harriet Michaels and introduces her to his parents. But, as voracious consumers of sensational tabloids, his parents soon come to suspect that Harriet is actually a notorious serial killer -- ""Mrs. X"" -- wanted in connection with a string of bizarre honeymoon killings. Thinking his parents foolish, Charlie proposes to Harriet. But while on his honeymoon with her, he begins to fear they were right.",https://image.tmdb.org/t/p/w500/nBvz8zE0uxMSQXWhMlyBoreDFiW.jpg,The honeymoon was killer.,93.0,6.105,439.0,90
The Nightmare Before Christmas,1993-10-09,Fantasy|Animation|Family,en,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",https://image.tmdb.org/t/p/w500/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg,What's this? What's this?,76.0,7.835,9833.0,91
True Romance,1993-09-09,Action|Crime|Romance,en,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",https://image.tmdb.org/t/p/w500/39lXk6ud6KiJgGbbWI2PUKS7y2.jpg,Stealing. Cheating. Killing. Who said romance was dead?,119.0,7.545,2843.0,92
Welcome to the Dollhouse,1995-09-10,Comedy|Drama,en,An unattractive 7th grader struggles to cope with suburban life as the middle child with inattentive parents and bullies at school.,https://image.tmdb.org/t/p/w500/fsMMOVto87pvUQyozOF9CaT9aMR.jpg,Not all girls want to play with dolls.,88.0,7.1,459.0,93
